arch,model,scenario,passed,end_reason,error,agent_turns,mean_turn_latency_s,agent_llm_calls,prompt_tokens,completion_tokens,agent_cost_usd,caller_cost_usd
single,gpt-4.1-mini,book_new_patient,1,patient_hangup,,4,2.5908,10,24247,398,0.010336,0.000778
single,gpt-4.1-mini,book_existing_patient,1,patient_hangup,,6,1.7263,11,26556,390,0.011246,0.001209
single,gpt-4.1-mini,cancel_existing,1,patient_hangup,,4,1.6846,8,17447,277,0.007422,0.000762
single,gpt-4.1-mini,cancel_nonexistent,1,patient_hangup,,3,1.8269,6,12489,205,0.005324,0.00059
single,gpt-4.1-mini,same_name_diff_phone,1,patient_hangup,,4,2.1245,9,21723,345,0.009241,0.000795
single,gpt-4.1-mini,empty_availability_loop,1,patient_hangup,,6,1.623,8,17571,372,0.007624,0.00161
single,gpt-4.1-mini,reject_offers_loop,1,patient_hangup,,6,1.4294,9,21322,366,0.009114,0.001488
single,gpt-4.1-mini,invalid_then_valid_time,1,patient_hangup,,6,1.7927,12,29379,461,0.012489,0.001368
single,gpt-4.1-mini,slot_already_taken,1,patient_hangup,,6,1.8394,11,26985,438,0.011495,0.001358
single,gpt-4.1-mini,confirm_before_cancel,1,patient_hangup,,4,1.4789,7,15064,247,0.006421,0.000821
single,gpt-4.1-mini,misheard_dob,1,patient_hangup,,6,2.1193,13,32196,493,0.013667,0.001363
