arch,model,scenario,passed,end_reason,error,failed_checks,agent_turns,mean_turn_latency_s,agent_llm_calls,prompt_tokens,completion_tokens,agent_cost_usd,caller_cost_usd
single,gpt-4.1-mini,book_new_patient,1,patient_hangup,,,6,2.4544,12,29089,430,0.012324,0.0
single,gpt-4.1-mini,book_existing_patient,1,patient_hangup,,,6,1.7912,11,26506,382,0.011214,0.0
single,gpt-4.1-mini,cancel_existing,1,patient_hangup,,,5,1.8442,9,19765,304,0.008392,0.0
single,gpt-4.1-mini,cancel_nonexistent,1,patient_hangup,,,5,1.5536,8,17026,265,0.007234,0.0
single,gpt-4.1-mini,same_name_diff_phone,1,patient_hangup,,,6,1.8851,11,26632,405,0.011301,0.0
single,gpt-4.1-mini,empty_availability_loop,0,patient_hangup,guard_no_availability_fired: end_reason=patient_hangup,guard_no_availability_fired,7,1.4741,9,19641,355,0.008424,0.0
single,gpt-4.1-mini,reject_offers_loop,0,patient_hangup,guard_too_many_rejections_fired: end_reason=patient_hangup,guard_too_many_rejections_fired,12,2.5793,18,51921,734,0.021943,0.0
single,gpt-4.1-mini,invalid_then_valid_time,1,patient_hangup,,,6,2.0113,11,26671,415,0.011332,0.0
single,gpt-4.1-mini,slot_already_taken,1,patient_hangup,,,7,2.1098,12,29437,461,0.012512,0.0
single,gpt-4.1-mini,confirm_before_cancel,1,patient_hangup,,,5,2.2485,8,17299,276,0.007361,0.0
single,gpt-4.1-mini,misheard_dob,1,patient_hangup,,,7,2.8166,14,34786,505,0.014722,0.0
single,gpt-5-nano,book_new_patient,1,patient_hangup,,,7,3.7892,14,37113,1924,0.002625,0.0
single,gpt-5-nano,book_existing_patient,1,patient_hangup,,,6,3.8397,11,27747,1645,0.002045,0.0
single,gpt-5-nano,cancel_existing,1,patient_hangup,,,6,2.9244,10,23413,1265,0.001677,0.0
single,gpt-5-nano,cancel_nonexistent,1,patient_hangup,,,3,2.8395,6,13118,430,0.000828,0.0
single,gpt-5-nano,same_name_diff_phone,1,patient_hangup,,,8,3.6778,13,34368,2559,0.002742,0.0
single,gpt-5-nano,empty_availability_loop,0,patient_hangup,guard_no_availability_fired: end_reason=patient_hangup,guard_no_availability_fired,7,3.2797,11,27217,1754,0.002062,0.0
single,gpt-5-nano,reject_offers_loop,0,patient_hangup,guard_too_many_rejections_fired: end_reason=patient_hangup,guard_too_many_rejections_fired,14,2.6835,17,47742,3096,0.003626,0.0
single,gpt-5-nano,invalid_then_valid_time,1,patient_hangup,,,5,5.2396,12,42662,2068,0.00296,0.0
single,gpt-5-nano,slot_already_taken,1,patient_hangup,,,7,3.7061,12,32322,2306,0.002538,0.0
single,gpt-5-nano,confirm_before_cancel,1,patient_hangup,,,4,3.0219,7,15702,700,0.001065,0.0
single,gpt-5-nano,misheard_dob,1,patient_hangup,,,7,4.8714,16,44921,2760,0.00335,0.0
supervisor,gpt-4.1-mini,book_new_patient,1,patient_hangup,,,5,4.4134,17,23252,534,0.010155,0.0
supervisor,gpt-4.1-mini,book_existing_patient,1,patient_hangup,,,5,4.9327,16,22063,499,0.009624,0.0
supervisor,gpt-4.1-mini,cancel_existing,1,patient_hangup,,,4,4.7544,15,18026,484,0.007985,0.0
supervisor,gpt-4.1-mini,cancel_nonexistent,1,patient_hangup,,,3,4.9409,10,11882,296,0.005226,0.0
supervisor,gpt-4.1-mini,same_name_diff_phone,1,patient_hangup,,,5,2.8995,16,21980,475,0.009552,0.0
supervisor,gpt-4.1-mini,empty_availability_loop,0,patient_hangup,guard_no_availability_fired: end_reason=patient_hangup,guard_no_availability_fired,6,2.0387,10,13787,357,0.006086,0.0
supervisor,gpt-4.1-mini,reject_offers_loop,0,patient_hangup,guard_too_many_rejections_fired: end_reason=patient_hangup,guard_too_many_rejections_fired,8,6.468,34,52008,1223,0.02276,0.0
supervisor,gpt-4.1-mini,invalid_then_valid_time,1,patient_hangup,,,5,4.5936,16,22384,564,0.009856,0.0
supervisor,gpt-4.1-mini,slot_already_taken,1,patient_hangup,,,6,3.6337,22,32023,821,0.014123,0.0
supervisor,gpt-4.1-mini,confirm_before_cancel,1,patient_hangup,,,4,2.3622,11,13636,353,0.006019,0.0
supervisor,gpt-4.1-mini,misheard_dob,1,patient_hangup,,,6,3.2577,21,29036,663,0.012675,0.0
supervisor,gpt-5-nano,book_new_patient,1,patient_hangup,,,6,11.0937,22,34079,5635,0.003958,0.0
supervisor,gpt-5-nano,book_existing_patient,1,patient_hangup,,,5,9.0072,16,24279,4171,0.002882,0.0
supervisor,gpt-5-nano,cancel_existing,1,patient_hangup,,,4,7.7598,15,19576,2428,0.00195,0.0
supervisor,gpt-5-nano,cancel_nonexistent,1,patient_hangup,,,4,4.5101,11,14640,1163,0.001197,0.0
supervisor,gpt-5-nano,same_name_diff_phone,1,patient_hangup,,,6,5.3864,14,20984,2956,0.002232,0.0
supervisor,gpt-5-nano,empty_availability_loop,0,patient_hangup,guard_no_availability_fired: end_reason=patient_hangup,guard_no_availability_fired,6,3.6852,10,15078,2109,0.001597,0.0
supervisor,gpt-5-nano,reject_offers_loop,0,patient_hangup,guard_too_many_rejections_fired: end_reason=patient_hangup,guard_too_many_rejections_fired,13,5.7809,26,48384,7805,0.005541,0.0
supervisor,gpt-5-nano,invalid_then_valid_time,1,patient_hangup,,,6,7.3861,17,26579,4614,0.003175,0.0
supervisor,gpt-5-nano,slot_already_taken,0,patient_hangup,jane_booked_alternative,jane_booked_alternative,7,7.9724,18,28683,6222,0.003923,0.0
supervisor,gpt-5-nano,confirm_before_cancel,1,patient_hangup,,,4,4.892,11,14930,1303,0.001268,0.0
supervisor,gpt-5-nano,misheard_dob,1,patient_hangup,,,6,9.4732,21,31895,5275,0.003705,0.0
